"age" "gender" "education" "R1" "R2" "R3" "R4" "R5" "R6" "R7" "R8" "R9" "R10" "R11" "R12" "R13" "R14" "R15" "R16" "R17" "R18" "R19" "R20" "R21" "R22" "R23" "R24" "R25" "R26" "R27" "R28" "R29"
"1" 1 0 0 1 1 1 1 1 1 1 2 2 1 2 2 1 1 1 1 1 2 1 2 2 1 1 2 3 2 1 1 2
"2" 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
"3" 1 0 0 1 1 1 1 1 1 2 1 2 1 2 2 1 2 1 2 1 2 1 1 1 1 1 1 3 2 1 2 2
"4" 0 0 0 1 1 1 1 1 1 2 1 2 1 1 2 1 1 1 2 1 3 1 1 1 1 1 1 1 3 1 3 1
"5" 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"6" 1 0 0 2 1 1 2 1 1 2 1 1 1 2 1 1 3 1 2 1 1 1 1 1 2 1 1 2 1 2 2 1
"7" 0 0 0 1 1 1 1 1 1 2 1 2 1 2 1 1 1 1 1 1 2 1 1 2 1 1 2 1 1 1 1 1
"8" 1 0 0 1 1 1 3 1 3 2 1 3 1 2 3 1 1 3 3 1 2 1 1 2 1 2 3 3 1 1 2 1
"9" 1 0 0 1 1 1 1 1 1 1 1 2 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
"10" 1 0 0 1 1 1 1 1 1 1 1 1 1 2 3 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1
"11" 0 0 0 1 1 1 1 1 1 2 1 2 1 2 2 3 2 2 2 1 3 1 1 2 2 2 2 1 1 2 2 1
"12" 0 0 0 1 1 1 1 1 1 2 1 2 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1
"13" 0 1 0 1 1 1 1 1 1 2 1 1 1 1 2 2 3 1 2 1 1 1 1 1 1 2 2 3 3 2 2 2
"14" 1 1 0 1 1 3 3 1 1 3 1 1 1 3 2 2 3 2 3 1 3 1 1 1 2 2 3 2 3 2 2 1
"15" 1 1 0 1 1 1 2 1 1 2 1 1 1 1 2 1 1 1 1 1 2 1 1 1 2 1 1 1 1 2 1 1
"16" 1 0 0 1 1 1 1 1 1 1 1 2 1 1 2 1 3 2 2 1 2 1 1 2 1 2 1 1 2 2 1 1
"17" 0 0 0 1 1 1 2 1 1 2 1 2 1 1 3 1 2 1 2 1 3 1 1 1 2 2 1 1 1 2 2 1
"18" 0 0 1 5 4 5 3 3 5 3 1 3 3 2 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3
"19" 1 1 0 2 2 1 2 1 1 3 2 2 1 2 2 1 2 1 3 1 1 1 1 1 2 2 1 2 2 2 2 2
"20" 0 1 0 1 1 1 1 1 2 1 1 2 1 2 3 3 1 3 1 2 2 2 2 1 2 2 2 2 1 1 2 1
"21" 0 1 0 2 1 1 2 2 2 3 1 2 1 1 2 2 1 2 2 1 2 2 2 1 2 4 2 2 3 2 4 2
"22" 0 1 0 2 1 2 4 1 1 5 3 1 2 2 1 1 2 2 2 1 1 2 2 3 2 2 3 1 4 3 5 3
"23" 0 1 0 1 1 3 2 3 1 3 4 4 2 2 3 1 1 1 3 1 3 1 2 3 2 1 2 4 1 2 2 2
"24" 0 0 1 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
"25" 1 1 0 2 2 1 1 1 1 2 1 1 3 1 1 1 1 1 2 1 1 2 1 1 2 2 2 3 3 2 2 1
"26" 1 1 0 1 2 2 2 2 2 2 1 1 1 2 3 2 1 2 3 1 1 2 2 1 2 3 2 4 3 1 2 2
"27" 0 1 1 2 2 1 2 1 1 2 2 2 1 2 2 1 3 1 3 1 3 1 2 2 2 2 1 2 1 2 2 2
"28" 1 1 0 1 1 1 2 1 1 2 1 1 1 1 1 1 2 1 3 1 2 1 1 1 2 3 2 1 1 2 2 1
"29" 0 1 0 2 2 2 2 3 2 3 2 2 2 2 2 2 2 3 4 2 2 2 3 2 2 1 2 4 2 2 3 2
"30" 0 1 1 4 3 3 2 2 2 3 3 4 1 3 2 1 2 3 3 2 2 2 2 2 2 3 3 3 3 3 4 2
